|    x     |    y     |Uor|opcode |    z     |of |equal|
| 10010001 | 01011111 | 0 |  000  | 00000000 | 0 |  0  |
| 01011010 | 01011010 | 0 |  000  | 00000000 | 0 |  1  |
| 10111110 | 01001010 | 0 |  001  | 00001010 | 0 |  0  |
| 00100010 | 11010001 | 0 |  010  | 11110011 | 0 |  0  |
| 10001101 | 01000111 | 0 |  011  | 11001010 | 0 |  0  |
| 10010011 | 01011101 | 0 |  100  | 11110000 | 0 |  0  |
| 11000101 | 00011010 | 0 |  101  | 10101011 | 0 |  0  |
| 01011011 | 11111001 | 1 |  100  | 01010100 | 0 |  0  |
| 00100101 | 00110011 | 1 |  101  | 11110010 | 0 |  0  |
| 00011001 | 00001010 | 0 |  110  | 11111010 | 0 |  0  |
| 00001101 | 11111010 | 1 |  111  | 10110010 | 0 |  0  |
| 10010010 | 11011101 | 0 |  100  | 01101111 | 1 |  0  |
| 01011011 | 01111001 | 1 |  100  | 11010100 | 1 |  0  |
| 11001110 | 01110011 | 1 |  101  | 01011011 | 1 |  0  |
| 00011000 | 00011010 | 0 |  110  | 01110000 | 1 |  0  |
| 00101101 | 11110010 | 1 |  111  | 10001010 | 1 |  0  |
